cast #,Depth (m),Salinity (PSU)
1,0.578005942,1.08666962
1,0.153279864,1.088502302
2,1.190351641,1.058054729
2,0.766405844,1.052437939
2,0.459848123,1.047793399
2,0.153281676,1.045614957
3,1.251524056,1.031743234
3,1.072967483,1.031653322
3,0.766405627,1.0310393
3,0.459843431,1.031002851
3,0.153278198,1.030843517
4,2.03168222,1.035035613
4,1.686048382,1.034425361
4,1.379495054,1.034054399
4,1.072941368,1.033406178
4,0.766387101,1.033486378
4,0.459832337,1.032557244
4,0.153274621,1.032301913
5,2.833304879,1.054003572
5,2.605632462,1.053981198
5,2.299090134,1.055540826
5,1.992548556,1.056146283
5,1.686006561,1.051863796
5,1.37946326,1.049991353
5,1.072918834,1.04915794
5,0.766373277,1.048743488
5,0.459826747,1.047453601
5,0.153273753,1.039151969
6,3.090154936,1.044862655
6,2.912222435,1.044611529
6,2.605676611,1.045621115
6,2.299130527,1.04550582
6,1.992584309,1.041245101
6,1.686037197,1.037654852
6,1.379489097,1.035064768
6,1.072939857,1.034166736
6,0.766388849,1.030555795
6,0.459835549,1.028977781
6,0.153276558,1.02764819